t soma.v(0.5)
1131 2
 0 -65
 0.00147926 -65.0005
 0.0268789 -65.0092
 0.0751979 -65.0249
 0.123517 -65.0404
 0.213369 -65.0689
 0.303221 -65.0972
 0.536681 -65.1706
 0.77014 -65.2436
 1.0036 -65.3165
 1.23706 -65.3891
 1.59298 -65.4993
 1.94891 -65.6085
 2.49588 -65.7743
 3.04285 -65.9374
 3.58983 -66.0974
 4.51578 -66.3611
 5.44174 -66.6151
 7.02917 -67.028
 8.6166 -67.4121
 10.204 -67.7683
 11.7915 -68.0978
 13.3789 -68.402
 16.0181 -68.8558
 18.6572 -69.2502
 21.2963 -69.5914
 25.3821 -70.0279
 29.4679 -70.37
 33.5537 -70.6341
 37.6395 -70.834
 41.7252 -70.9816
 48.0875 -71.1295
 54.4497 -71.2032
 60.812 -71.2245
 67.1742 -71.2096
 73.5365 -71.1706
 79.8987 -71.1165
 89.734 -71.0175
 99.5693 -70.9123
 109.405 -70.809
 119.24 -70.7118
 129.075 -70.6233
 138.911 -70.5441
 148.746 -70.4742
 158.581 -70.4128
 168.416 -70.3591
 178.252 -70.3123
 188.087 -70.2717
 197.922 -70.2363
 207.758 -70.2058
 217.593 -70.1793
 227.428 -70.1563
 237.264 -70.1363
 247.099 -70.1191
 256.934 -70.1039
 266.769 -70.0906
 276.605 -70.079
 286.44 -70.0691
 296.275 -70.0605
 306.111 -70.0534
 315.946 -70.047
 325.781 -70.0418
 335.617 -70.0374
 345.452 -70.0336
 355.287 -70.029
 365.122 -70.0255
 374.958 -70.0221
 384.793 -70.0205
 394.628 -70.0193
 404.464 -70.0186
 414.299 -70.015
 424.134 -70.0116
 433.97 -70.0091
 443.805 -70.0098
 453.64 -70.0078
 460.416 -70.0057
 467.191 -70.0062
 473.967 -70.0086
 480.742 -70.0089
 487.518 -70.0076
 494.293 -70.0065
 501.069 -70.007
 507.844 -70.0063
 514.619 -70.0059
 521.395 -70.0052
 528.17 -70.0058
 534.946 -70.0035
 541.721 -70.0013
 548.497 -69.9993
 555.272 -70.0008
 562.048 -70.0001
 566.597 -69.9985
 571.146 -69.9995
 575.696 -70.0029
 580.245 -70.0046
 584.794 -70.004
 589.343 -70.0031
 593.893 -70.0037
 598.442 -70.004
 602.991 -70.0039
 607.54 -70.0038
 612.089 -70.0042
 616.639 -70.0039
 621.188 -70.0037
 625.737 -70.0034
 630.286 -70.0038
 634.836 -70.0031
 639.385 -70.0029
 643.934 -70.0039
 648.483 -70.0053
 653.033 -70.0048
 657.582 -70.0033
 662.131 -70.0029
 666.68 -70.0038
 671.229 -70.0043
 675.779 -70.004
 680.328 -70.0037
 684.877 -70.0038
 689.426 -70.0039
 693.976 -70.0038
 698.525 -70.0037
 703.074 -70.0038
 710.425 -70.0036
 717.775 -70.0033
 725.125 -70.0033
 739.791 -70.0033
 754.456 -70.0034
 777.075 -70.0036
 816.652 -70.0035
 856.229 -70.004
 895.805 -70.0039
 935.382 -70.0035
 974.959 -70.0032
 1000 -70.0036
 1000 -70.0036
 1000 -69.9485
 1000 -69.9108
 1000 -69.8703
 1000 -69.8477
 1000 -69.8208
 1000 -69.8222
 1000 -69.8265
 1000 -69.8286
 1000 -69.8288
 1000 -69.8281
 1000 -69.8251
 1000 -69.8071
 1000 -69.7912
 1000 -69.765
 1000 -69.7286
 1000.01 -69.6767
 1000.01 -69.6283
 1000.02 -69.5465
 1000.02 -69.4712
 1000.03 -69.3076
 1000.05 -69.1668
 1000.06 -69.0417
 1000.07 -68.9275
 1000.08 -68.8215
 1000.1 -68.648
 1000.13 -68.4893
 1000.16 -68.2533
 1000.2 -68.0398
 1000.27 -67.69
 1000.33 -67.3789
 1000.4 -67.0963
 1000.47 -66.837
 1000.53 -66.5973
 1000.64 -66.2339
 1000.75 -65.9064
 1000.86 -65.6075
 1001.04 -65.1779
 1001.22 -64.7949
 1001.39 -64.4489
 1001.73 -63.8731
 1002.06 -63.3725
 1002.39 -62.929
 1002.73 -62.5291
 1003.06 -62.1618
 1003.39 -61.8202
 1003.93 -61.3135
 1004.46 -60.8494
 1005 -60.4194
 1005.54 -60.0167
 1006.07 -59.6364
 1006.97 -59.0408
 1007.87 -58.4865
 1008.76 -57.9644
 1009.66 -57.4652
 1010.56 -56.9818
 1011.46 -56.5011
 1012.35 -56.0036
 1012.58 -55.8735
 1012.8 -55.7386
 1013.03 -55.5963
 1013.25 -55.4431
 1013.31 -55.4026
 1013.36 -55.3609
 1013.46 -55.2856
 1013.56 -55.2049
 1013.65 -55.1164
 1013.68 -55.0927
 1013.7 -55.0682
 1013.75 -55.0215
 1013.79 -54.9709
 1013.82 -54.9373
 1013.84 -54.9013
 1013.86 -54.8793
 1013.88 -54.8561
 1013.89 -54.8316
 1013.91 -54.8055
 1013.92 -54.7776
 1013.94 -54.7474
 1013.95 -54.727
 1013.96 -54.7054
 1013.97 -54.6822
 1013.98 -54.6573
 1013.99 -54.6302
 1014 -54.6006
 1014.01 -54.5681
 1014.02 -54.5319
 1014.03 -54.4916
 1014.04 -54.4462
 1014.05 -54.395
 1014.06 -54.337
 1014.07 -54.2711
 1014.08 -54.1961
 1014.08 -54.1109
 1014.09 -54.0141
 1014.1 -53.9045
 1014.11 -53.7805
 1014.12 -53.6408
 1014.13 -53.4839
 1014.14 -53.3087
 1014.15 -53.1148
 1014.16 -52.9022
 1014.17 -52.672
 1014.18 -52.4251
 1014.19 -52.1626
 1014.2 -51.8845
 1014.21 -51.5905
 1014.22 -51.2789
 1014.24 -50.7446
 1014.25 -50.1549
 1014.27 -49.5079
 1014.28 -48.8102
 1014.3 -48.0786
 1014.32 -47.3367
 1014.33 -46.6072
 1014.35 -45.9056
 1014.36 -45.239
 1014.38 -44.6086
 1014.39 -44.0119
 1014.41 -43.4449
 1014.42 -42.9029
 1014.44 -42.3808
 1014.47 -41.4025
 1014.5 -40.4487
 1014.53 -39.4878
 1014.56 -38.4892
 1014.59 -37.4186
 1014.62 -36.2339
 1014.65 -34.8779
 1014.68 -33.2702
 1014.71 -31.2896
 1014.74 -28.7498
 1014.77 -25.3525
 1014.8 -20.6513
 1014.83 -14.0104
 1014.85 -9.16316
 1014.87 -3.70765
 1014.88 2.03764
 1014.9 7.61745
 1014.92 12.6711
 1014.94 16.9864
 1014.95 20.5636
 1014.97 23.5656
 1014.98 25.2839
 1014.99 26.8116
 1015.01 28.1632
 1015.02 29.361
 1015.03 30.4245
 1015.04 31.3676
 1015.05 32.2023
 1015.06 32.9411
 1015.08 33.5969
 1015.09 34.1811
 1015.1 34.7038
 1015.11 35.1733
 1015.12 35.5969
 1015.13 35.9808
 1015.14 36.3298
 1015.16 36.6477
 1015.17 36.9372
 1015.18 37.2004
 1015.19 37.4389
 1015.2 37.654
 1015.21 37.8469
 1015.22 38.0185
 1015.24 38.1698
 1015.25 38.302
 1015.26 38.416
 1015.27 38.513
 1015.28 38.5937
 1015.29 38.659
 1015.3 38.7098
 1015.32 38.7469
 1015.33 38.7714
 1015.34 38.784
 1015.35 38.7857
 1015.36 38.7776
 1015.37 38.7602
 1015.38 38.7345
 1015.4 38.701
 1015.41 38.66
 1015.42 38.6119
 1015.43 38.5569
 1015.44 38.495
 1015.45 38.4261
 1015.46 38.35
 1015.48 38.2666
 1015.49 38.1757
 1015.5 38.0771
 1015.51 37.9706
