t soma.v(0.5)
118 2
 0 -70
 0.126611 -70.0007
 0.414729 -70.0012
 0.868888 -70.0009
 1.32305 -69.9999
 2.15589 -69.9973
 2.98873 -69.9944
 4.52386 -69.989
 6.05899 -69.9835
 10.1172 -69.97
 14.1755 -69.9576
 18.2337 -69.9468
 22.292 -69.9376
 28.7153 -69.9255
 35.1386 -69.916
 41.5618 -69.9087
 52.9275 -69.9
 64.2932 -69.8951
 75.6589 -69.8927
 87.0246 -69.8919
 106.144 -69.8917
 125.263 -69.8927
 144.382 -69.8943
 163.501 -69.8953
 182.621 -69.8962
 201.74 -69.8972
 220.859 -69.8976
 239.978 -69.8985
 259.097 -69.8998
 278.216 -69.8991
 290.427 -69.8985
 302.638 -69.8984
 314.849 -69.899
 340.65 -69.8999
 366.45 -69.9006
 392.25 -69.9011
 418.05 -69.9015
 443.851 -69.9014
 485.623 -69.9013
 527.395 -69.9014
 606.937 -69.902
 686.479 -69.9018
 766.02 -69.9018
 920.891 -69.9021
 1000 -69.902
 1000 -69.902
 1000.02 -69.8849
 1000.04 -69.8713
 1000.07 -69.8517
 1000.1 -69.8353
 1000.16 -69.8107
 1000.22 -69.79
 1000.33 -69.7592
 1000.49 -69.7215
 1000.79 -69.6681
 1001.09 -69.6276
 1001.39 -69.5942
 1001.68 -69.5654
 1002.16 -69.5248
 1002.64 -69.49
 1003.12 -69.4592
 1003.94 -69.4126
 1004.76 -69.3711
 1006.47 -69.2949
 1008.19 -69.2272
 1009.9 -69.1658
 1011.61 -69.1104
 1013.33 -69.0604
 1016.51 -68.9798
 1019.7 -68.9122
 1022.88 -68.8549
 1027.88 -68.7822
 1032.88 -68.7259
 1040.44 -68.6639
 1048.01 -68.6216
 1055.58 -68.5926
 1067.4 -68.5649
 1079.23 -68.5512
 1091.05 -68.5463
 1102.88 -68.5457
 1114.7 -68.5483
 1126.52 -68.552
 1138.35 -68.556
 1150.17 -68.5608
 1162 -68.5639
 1173.82 -68.5659
 1185.65 -68.5696
 1197.47 -68.5747
 1209.3 -68.5791
 1221.12 -68.582
 1228.7 -68.5838
 1236.27 -68.5854
 1243.84 -68.5855
 1251.42 -68.5846
 1258.99 -68.5846
 1266.57 -68.5841
 1274.14 -68.5834
 1281.72 -68.5826
 1289.29 -68.5818
 1296.86 -68.5835
 1304.44 -68.5873
 1312.01 -68.5904
 1319.59 -68.5912
 1327.16 -68.591
 1334.73 -68.5908
 1342.31 -68.5914
 1349.88 -68.5923
 1355.03 -68.5926
 1360.18 -68.5926
 1365.33 -68.5925
 1370.48 -68.5925
 1375.63 -68.5924
 1380.78 -68.5925
 1385.93 -68.5926
 1389.44 -68.5924
 1392.95 -68.5922
 1396.45 -68.5921
 1399.96 -68.5922
