t soma.v(0.5)
9661 2
 0 -70
 0.126611 -70.0007
 0.414729 -70.0012
 0.868887 -70.0009
 1.32305 -69.9999
 2.15588 -69.9973
 2.98872 -69.9945
 4.52387 -69.989
 6.05903 -69.9835
 10.1171 -69.97
 14.1751 -69.9576
 18.2331 -69.9468
 22.2912 -69.9376
 28.7136 -69.9256
 35.1361 -69.9161
 41.5585 -69.9089
 52.8862 -69.9002
 64.2139 -69.8953
 75.5416 -69.893
 86.8693 -69.8922
 105.934 -69.892
 124.999 -69.893
 144.063 -69.8946
 163.128 -69.8956
 182.193 -69.8965
 201.257 -69.8974
 220.322 -69.8979
 239.387 -69.8988
 258.451 -69.9001
 277.516 -69.8994
 296.581 -69.9001
 307.637 -69.9012
 318.692 -69.902
 329.748 -69.9032
 340.804 -69.9037
 351.86 -69.9028
 362.915 -69.9027
 373.971 -69.9029
 385.027 -69.9025
 396.083 -69.9027
 407.138 -69.9029
 418.194 -69.902
 429.25 -69.9022
 436.002 -69.9029
 442.754 -69.9034
 449.506 -69.9037
 456.258 -69.9038
 463.011 -69.9034
 480.091 -69.9028
 497.171 -69.9026
 514.251 -69.9025
 531.331 -69.9021
 560.888 -69.902
 590.445 -69.9019
 620.001 -69.9017
 649.558 -69.9022
 679.115 -69.9021
 708.671 -69.9016
 738.228 -69.9023
 767.784 -69.9023
 797.341 -69.9019
 845.012 -69.9018
 892.684 -69.9017
 994.56 -69.9022
 1000 -69.9022
 1000 -69.9022
 1000 -69.8215
 1000.01 -69.7486
 1000.02 -69.642
 1000.02 -69.5465
 1000.04 -69.3526
 1000.06 -69.1895
 1000.08 -69.0461
 1000.09 -68.9162
 1000.11 -68.7964
 1000.14 -68.6092
 1000.17 -68.4403
 1000.22 -68.202
 1000.26 -67.991
 1000.35 -67.662
 1000.43 -67.3756
 1000.52 -67.1187
 1000.6 -66.8846
 1000.68 -66.6692
 1000.82 -66.3563
 1000.95 -66.0739
 1001.09 -65.8154
 1001.22 -65.5766
 1001.45 -65.2053
 1001.68 -64.8722
 1001.91 -64.5687
 1002.28 -64.1345
 1002.65 -63.744
 1003.01 -63.3858
 1003.66 -62.8128
 1004.3 -62.2923
 1004.94 -61.8117
 1005.58 -61.3627
 1006.23 -60.9372
 1006.87 -60.5314
 1007.51 -60.1423
 1008.16 -59.7703
 1008.8 -59.411
 1009.44 -59.0659
 1010.09 -58.7279
 1010.73 -58.3977
 1011.37 -58.0729
 1012.02 -57.7592
 1012.66 -57.4561
 1013.3 -57.1728
 1013.95 -56.8959
 1014.59 -56.6141
 1015.23 -56.3259
 1015.88 -56.04
 1016.52 -55.757
 1017.16 -55.4731
 1017.8 -55.1766
 1018.45 -54.8511
 1019.09 -54.4908
 1019.25 -54.3944
 1019.41 -54.2934
 1019.57 -54.1867
 1019.84 -53.9961
 1019.97 -53.8945
 1020.1 -53.7869
 1020.31 -53.5967
 1020.52 -53.3761
 1020.74 -53.1101
 1020.95 -52.755
 1021.01 -52.6466
 1021.06 -52.5253
 1021.12 -52.3873
 1021.17 -52.2271
 1021.26 -51.8992
 1021.31 -51.6333
 1021.36 -51.2775
 1021.38 -51.168
 1021.39 -51.047
 1021.41 -50.7767
 1021.44 -50.4312
 1021.46 -50.1337
 1021.47 -49.7655
 1021.49 -49.3029
 1021.5 -48.9308
 1021.51 -48.4974
 1021.52 -47.9972
 1021.54 -47.4279
 1021.55 -46.7904
 1021.56 -46.0873
 1021.57 -45.3212
 1021.58 -44.4922
 1021.59 -43.5967
 1021.6 -42.6274
 1021.62 -41.5752
 1021.63 -40.4321
 1021.64 -39.194
 1021.66 -36.7956
 1021.68 -34.1902
 1021.7 -31.4841
 1021.72 -28.7575
 1021.74 -25.9976
 1021.76 -23.0983
 1021.78 -19.8717
 1021.8 -16.1136
 1021.82 -11.6423
 1021.84 -6.41265
 1021.86 -0.563333
 1021.88 5.41818
 1021.9 10.9256
 1021.92 15.5287
 1021.94 19.1581
 1021.96 21.9381
 1021.98 24.0202
 1022 25.5485
 1022.02 26.6648
 1022.04 27.4879
 1022.06 28.0965
 1022.08 28.5293
 1022.1 28.81
 1022.12 28.9608
 1022.14 29.0015
 1022.16 28.9483
 1022.18 28.8131
 1022.2 28.6053
 1022.22 28.3331
 1022.24 28.0047
 1022.26 27.6277
 1022.28 27.2088
 1022.3 26.7534
 1022.32 26.2658
 1022.34 25.7492
 1022.36 25.2062
 1022.38 24.6388
 1022.4 24.049
 1022.42 23.4385
 1022.44 22.8091
 1022.46 22.1627
 1022.48 21.5011
 1022.5 20.826
 1022.52 20.1392
 1022.54 19.4421
 1022.56 18.736
 1022.58 18.0221
 1022.6 17.3013
 1022.62 16.5742
 1022.64 15.8411
 1022.66 15.1024
 1022.68 14.358
 1022.7 13.6082
 1022.72 12.8529
 1022.74 12.092
 1022.76 11.3255
 1022.78 10.5534
 1022.8 9.7756
 1022.82 8.99216
 1022.84 8.20319
 1022.86 7.40887
 1022.88 6.60951
 1022.9 5.80549
 1022.92 4.99731
 1022.94 4.18551
 1022.96 3.37071
 1022.98 2.55353
 1023 1.73458
 1023.02 0.9144
 1023.04 0.0935015
 1023.06 -0.727692
 1023.08 -1.54883
 1023.1 -2.36964
 1023.12 -3.18993
 1023.14 -4.0096
 1023.16 -4.82862
 1023.18 -5.64704
 1023.2 -6.4649
 1023.22 -7.28224
 1023.24 -8.09911
 1023.26 -8.91559
 1023.28 -9.73176
 1023.3 -10.5477
 1023.32 -11.3634
 1023.34 -12.1788
 1023.36 -12.9933
 1023.38 -13.8062
 1023.4 -14.6171
 1023.42 -15.4256
 1023.44 -16.2313
 1023.46 -17.0337
 1023.48 -17.8324
 1023.5 -18.6273
 1023.52 -19.418
 1023.54 -20.2042
 1023.56 -20.9857
 1023.58 -21.7621
 1023.6 -22.5331
 1023.62 -23.2983
 1023.64 -24.0575
 1023.66 -24.8103
 1023.68 -25.5564
 1023.7 -26.2954
 1023.72 -27.0269
 1023.74 -27.7505
 1023.76 -28.4658
 1023.78 -29.1724
 1023.8 -29.8697
 1023.82 -30.5574
 1023.84 -31.235
 1023.86 -31.902
 1023.88 -32.5581
 1023.9 -33.2027
 1023.92 -33.8356
 1023.94 -34.4562
 1023.96 -35.0644
 1023.98 -35.6597
 1024 -36.242
 1024.02 -36.811
 1024.04 -37.3665
 1024.06 -37.9084
 1024.08 -38.4366
 1024.1 -38.951
 1024.12 -39.4518
 1024.14 -39.9388
 1024.16 -40.4123
 1024.18 -40.8722
 1024.2 -41.3189
 1024.22 -41.7523
 1024.24 -42.1728
 1024.26 -42.5806
 1024.28 -42.9759
 1024.3 -43.3589
 1024.32 -43.73
 1024.34 -44.0893
 1024.36 -44.4372
 1024.38 -44.774
 1024.4 -45.0998
 1024.42 -45.4151
 1024.44 -45.72
 1024.46 -46.0149
 1024.48 -46.2999
 1024.5 -46.5755
 1024.52 -46.8417
 1024.54 -47.099
 1024.56 -47.3476
 1024.58 -47.5877
 1024.6 -47.8196
 1024.62 -48.0435
 1024.64 -48.2597
 1024.66 -48.4685
 1024.68 -48.67
 1024.7 -48.8646
 1024.72 -49.0523
 1024.74 -49.2336
 1024.77 -49.5067
 1024.81 -49.7649
 1024.84 -50.0091
 1024.87 -50.24
 1024.9 -50.4584
 1024.95 -50.7656
 1025 -51.0482
 1025.04 -51.308
 1025.09 -51.5472
 1025.14 -51.7673
 1025.19 -51.97
 1025.22 -52.0894
 1025.25 -52.2028
 1025.28 -52.3104
 1025.31 -52.4126
 1025.34 -52.5097
 1025.37 -52.6018
 1025.42 -52.7406
 1025.46 -52.8682
 1025.51 -52.9854
 1025.56 -53.0929
 1025.61 -53.1915
 1025.66 -53.2818
 1025.71 -53.3643
 1025.75 -53.4395
 1025.78 -53.4826
 1025.81 -53.5232
 1025.84 -53.5613
 1025.87 -53.5972
 1025.9 -53.6307
 1025.93 -53.6621
 1025.96 -53.6915
 1026.01 -53.7322
 1026.05 -53.7684
 1026.1 -53.8004
 1026.15 -53.8284
 1026.19 -53.8525
 1026.24 -53.873
 1026.28 -53.8901
 1026.33 -53.9038
 1026.37 -53.9144
 1026.42 -53.922
 1026.46 -53.9269
 1026.53 -53.9293
 1026.6 -53.9262
 1026.67 -53.9179
 1026.74 -53.9052
 1026.81 -53.8883
