t soma.v(0.5)
9978 2
 0 -70
 0.126625 -70.0007
 0.415476 -70.0011
 0.872097 -70.0005
 1.32872 -69.9993
 2.17218 -69.9961
 3.01565 -69.9925
 4.57462 -69.9856
 6.1336 -69.9787
 10.0434 -69.9625
 13.9532 -69.9481
 17.8629 -69.9355
 21.7727 -69.9245
 25.6825 -69.915
 32.9938 -69.9005
 40.3051 -69.8897
 52.385 -69.8779
 64.4648 -69.8715
 76.5447 -69.8687
 88.6246 -69.8678
 112.721 -69.8679
 136.818 -69.8699
 160.915 -69.8713
 185.012 -69.8723
 209.109 -69.8734
 233.206 -69.8746
 257.302 -69.8756
 281.399 -69.8749
 305.496 -69.8757
 329.593 -69.8788
 353.69 -69.8808
 377.787 -69.8804
 401.884 -69.8775
 425.98 -69.877
 441.349 -69.8778
 456.718 -69.8773
 472.086 -69.8771
 487.455 -69.8774
 502.824 -69.8785
 518.192 -69.8793
 533.561 -69.8789
 548.929 -69.8782
 564.298 -69.8768
 579.667 -69.8762
 595.035 -69.8779
 610.404 -69.88
 625.773 -69.8812
 641.141 -69.8804
 656.51 -69.8792
 671.879 -69.8782
 687.247 -69.8775
 702.616 -69.8781
 717.984 -69.879
 733.353 -69.8792
 748.722 -69.879
 764.09 -69.8787
 779.459 -69.8786
 794.828 -69.8781
 810.196 -69.8778
 825.565 -69.8781
 840.934 -69.8781
 856.302 -69.8784
 871.671 -69.8793
 887.039 -69.8787
 896.654 -69.8779
 906.268 -69.8775
 915.882 -69.8775
 932.543 -69.8779
 949.204 -69.8785
 965.865 -69.8788
 994.983 -69.879
 1000 -69.879
 1000 -69.879
 1000 -69.7982
 1000.01 -69.7253
 1000.02 -69.6187
 1000.02 -69.5233
 1000.04 -69.3294
 1000.06 -69.1663
 1000.08 -69.0229
 1000.09 -68.8929
 1000.11 -68.7731
 1000.14 -68.5859
 1000.17 -68.417
 1000.22 -68.1787
 1000.26 -67.9677
 1000.35 -67.6386
 1000.43 -67.3522
 1000.52 -67.0952
 1000.6 -66.8611
 1000.68 -66.6457
 1000.82 -66.3327
 1000.95 -66.0501
 1001.09 -65.7916
 1001.22 -65.5527
 1001.45 -65.1812
 1001.68 -64.8479
 1001.91 -64.5442
 1002.28 -64.1097
 1002.65 -63.7188
 1003.01 -63.3603
 1003.66 -62.7865
 1004.3 -62.2652
 1004.94 -61.7837
 1005.58 -61.3338
 1006.23 -60.9072
 1006.87 -60.5003
 1007.51 -60.1099
 1008.16 -59.7366
 1008.8 -59.3758
 1009.44 -59.0291
 1010.09 -58.6954
 1010.73 -58.3749
 1011.37 -58.0585
 1012.02 -57.7437
 1012.66 -57.4288
 1013.3 -57.1304
 1013.95 -56.8506
 1014.59 -56.5683
 1015.23 -56.2742
 1015.87 -55.9746
 1016.52 -55.6764
 1017.16 -55.3785
 1017.8 -55.0599
 1018.45 -54.7034
 1019.09 -54.3004
 1019.73 -53.8321
 1020.38 -53.2141
 1020.54 -53.0103
 1020.7 -52.7526
 1020.86 -52.3994
 1020.9 -52.2889
 1020.94 -52.165
 1020.98 -52.0237
 1021.02 -51.8593
 1021.06 -51.6636
 1021.1 -51.4231
 1021.14 -51.114
 1021.17 -50.8369
 1021.2 -50.4789
 1021.21 -50.1984
 1021.23 -49.853
 1021.25 -49.4199
 1021.27 -48.8719
 1021.28 -48.4599
 1021.29 -47.9877
 1021.3 -47.4532
 1021.31 -46.8568
 1021.32 -46.201
 1021.33 -45.4883
 1021.34 -44.7191
 1021.35 -43.8912
 1021.36 -42.9994
 1021.37 -42.0364
 1021.38 -40.9944
 1021.39 -39.8683
 1021.4 -38.6572
 1021.42 -36.5162
 1021.44 -34.2246
 1021.46 -31.8593
 1021.48 -29.4781
 1021.49 -27.0803
 1021.51 -24.6082
 1021.53 -21.956
 1021.55 -18.996
 1021.56 -15.5908
 1021.58 -11.6288
 1021.6 -7.07466
 1021.62 -2.01658
 1021.63 3.25399
 1021.65 8.32602
 1021.67 12.8365
 1021.69 16.6135
 1021.7 19.6534
 1021.72 22.0369
 1021.74 23.8742
 1021.76 25.283
 1021.77 26.3695
 1021.79 27.2136
 1021.81 27.8681
 1021.83 28.3668
 1021.84 28.7344
 1021.86 28.9896
 1021.88 29.1482
 1021.9 29.2229
 1021.91 29.2239
 1021.93 29.1592
 1021.95 29.0355
 1021.97 28.859
 1021.98 28.6351
 1022 28.3692
 1022.02 28.0661
 1022.04 27.7301
 1022.06 27.3649
 1022.07 26.9735
 1022.09 26.5582
 1022.11 26.1209
