	Cell name	E_rest_0	Input resistance	Cell capacitance	AP1_amp_1.5e-10	APp_amp_1.5e-10	AP1_width_1.5e-10	APp_width_1.5e-10	AP1_thresh_1.5e-10	APp_thresh_1.5e-10	AP1_lat_1.5e-10	ISI1_1.5e-10	ISIl_1.5e-10	ISIavg_1.5e-10	freq_1.5e-10	Adptn_id_1.5e-10	fAHP_AP1_amp_1.5e-10	fAHP_APp_amp_1.5e-10	mAHP_stimend_amp_1.5e-10	sAHP_stimend_amp_1.5e-10	AHP_AP1_amp_1.5e-10	AHP_APp_amp_1.5e-10	AHP_AP1_time_1.5e-10	AHP_APp_time_1.5e-10
0	Cell 1 of 12617.abf	-0.063568115	208632997.47165632	1.682462747493415e-10	0.10562134170532227	0.097259521484375	0.001050026250656269	0.0011000275006874949	-0.052185062408447266	-0.041900638580322266	0.009952283807095175	0.0055001375034375855	0.05970149253731338	0.028803661268002288	36.0	0.9078726968174203	0.013305660247802734	0.018066402435302734	-9.1552734e-05	-0.0010070801	0.013275143	0.018035885	0.002	0.00205
1	Cell 1 of 12717.abf	-0.07119751	205623170.35001603	1.1684601015147905e-10	0.12338257217407227	0.11419678115844727	0.0009000225005625223	0.0010000250006250155	-0.050750736236572266	-0.044464115142822266	0.02390263256581414	0.01800045001125028	0.04430110752768818	0.033127751270704844	28.0	0.5936794582392775	0.014770503997802734	0.020874019622802734	0.0016174316	-0.00033569336	0.014678951	0.02075195	0.002	0.00205
2	Cell 1 of 13218.abf	-0.0670166	169314528.938013	2.476182912405844e-10	0.11782837295532227	0.10879516983032227	0.0009000225005625223	0.0009500237505937759	-0.051177982330322266	-0.045410160064697266	0.022402595064876615	0.009850246256156409	0.08260206505162626	0.0391464332062847	24.0	0.8807506053268764	0.012390132904052734	0.016143795013427734	0.00015258789	-0.0010070801	0.012359615	0.015991207	0.00185	0.0019
3	Cell 1 of 15118.abf	-0.058105472	213809758.0411145	5.0014753900420374e-11	0.0987854041159153	0.0929565466940403	0.0008000200005000152	0.00115002875071879	-0.054718021392822266	-0.046478275299072266	0.0011020625515637816	0.0058501462536563464	0.027400685017125337	0.017354005278703392	58.0	0.7864963503649626	0.004638671785593032	0.010986328035593032	-0.002410885	-0.0025024377	0.004547119	0.009857178	0.00175	0.00735
4	Cell 1 of 201217.abf	-0.06777954	199749721.63727	1.2588203193070436e-10	0.10775757217407227	0.09844970893859864	0.0011000275006875226	0.0012000300007500297	-0.051300052642822266	-0.042449954986572266	0.020402545063626584	0.012950323758093948	0.06675166879171984	0.0444611115277882	22.0	0.805992509363296	0.015655513763427734	0.022338863372802734	0.0022888184	0.00018310547	0.015533444	0.021301266	0.00225	0.04225
5	Cell 1 of 22317.abf	-0.059570316	201009004.26652983	1.7287898327427023e-10	0.10369873800873756	0.0934753455221653	0.0012000300007500159	0.001400035000875044	-0.047851566314697266	-0.035552978515625	0.013052361309032728	0.008350208755218885	0.048051201280031985	0.028056951423785594	34.0	0.8262226847034337	0.016448974519968032	0.0263366736471653	0.0018920898	-0.0002746582	0.016296387	0.021728516	0.0025	0.02315
6	Cell 1 of 23317.abf	-0.07196045	201191046.09690455	1.7399619843213496e-10	0.12228393936157227	0.11425781631469727	0.001300032500812509	0.0013500337508437488	-0.047760013580322266	-0.042755130767822266	0.038903007575189386	0.03545088627215681	0.07350183754593864	0.054213855346383656	18.0	0.5176870748299318	0.020935054779052734	0.026794429779052734	0.0015869141	-0.00088500977	0.020324703	0.023559567	0.0103	0.02425
7	Cell 1 of 24517.abf	-0.06607056	170407675.0401495	2.355692255873984e-10	0.09868775200843811	0.09433899712562561	0.0011500287507187623	0.0012500312507812694	-0.052111820220947264	-0.043380741119384766	0.019002510062751568	0.011600290007250186	0.06580164504112607	0.03801913229648923	24.0	0.8237082066869301	0.01658325791358948	0.02275696015357971	0.0010681152	-0.0006225556	0.016516116	0.020922855	0.00265	0.01995
8	Cell 1 of 25517.abf	-0.06842041	170602758.82722306	1.549333429114889e-10	0.106719970703125	0.101043701171875	0.0009000225005625084	0.0011000275006874949	-0.049621585845947266	-0.041503910064697266	0.024002635065876646	0.01550038750968774	0.05585139628490721	0.04149194638956883	24.0	0.7224709042076997	0.017181392669677734	0.024291988372802734	0.00012207031	-0.0008544922	0.017028805	0.02062988	0.00205	0.02535
9	Cell 1 of 6617.abf	-0.06878662	209218950.1605282	9.04959545816008e-11	0.09127807807922364	0.08947754096984864	0.00140003500087503	0.0017000425010625375	-0.046875003814697266	-0.03900146484375	0.01685245631140779	0.009900247506187662	0.058601465036625944	0.03238295243095363	30.0	0.8310580204778156	0.026672359466552734	0.03228759765625	0.00030517578	-0.0008544922	0.026306149	0.027099606	0.00415	0.0364
10	Cell 2 of 12717.abf	-0.068603516	163908014.40448537	1.292177366888227e-10	0.11459350967407227	0.09890747261047364	0.001050026250656269	0.001400035000875044	-0.053192142486572266	-0.045532230377197266	0.01380238005950149	0.02540063501587539	0.04055101377534431	0.03691758960640682	26.0	0.373612823674475	0.016784664154052734	0.023864742279052734	-0.000579834	-0.0013427734	0.013793942	0.01809692	0.0124	0.02015
11	Cell 2 of 13218.abf	-0.0647583	198128557.26114225	1.5307788346769418e-10	0.11672974014282227	0.10473633193969727	0.001050026250656269	0.0012000300007500297	-0.050842288970947266	-0.040252689361572266	0.012452346308657714	0.01080027000675017	0.0735018375459387	0.04136012491221372	24.0	0.8530612244897959	0.012725826263427734	0.018280025482177734	-0.000579834	-0.0015869141	0.012481686	0.01773071	0.0023	0.02385
12	Cell 2 of 171117.abf	-0.06918335	172503265.78250945	2.146127760583645e-10	0.107177734375	0.10302734375	0.0011000275006875226	0.00115002875071879	-0.046691898345947266	-0.041809085845947266	0.030652801320032994	0.015600390009750248	0.06520163004075102	0.039910997774944376	22.0	0.7607361963190183	0.019073482513427734	0.023315425872802734	-0.0007324219	-0.0020751953	0.018920895	0.02325439	0.0022	0.0023
13	Cell 2 of 201217.abf	-0.072021484	188726617.95684162	1.9420791624189634e-10	0.12240600967407227	0.11447143936157227	0.001050026250656269	0.0011000275006874949	-0.051635746002197266	-0.044860843658447266	0.03905301132528313	0.028800720018000464	0.09990249756243907	0.05545852932037587	16.0	0.7117117117117115	0.018432613372802734	0.023437496185302734	0.0024414062	-0.00048828125	0.018432613	0.022308346	0.00215	0.024
14	Cell 2 of 25118.abf	-0.06878662	162232422.10516417	1.931008712902174e-10	0.11987305068969727	0.11029053115844727	0.000950023750593762	0.0011000275006874949	-0.052124027252197266	-0.046417240142822266	0.015502422560564014	0.021300532513312834	0.05400135003375084	0.03991917979767676	24.0	0.6055555555555555	0.013183589935302734	0.018371578216552734	-0.00045776367	-0.0014038086	0.013000485	0.016357418	0.0023	0.01345
15	Cell 3 of 10717.abf	-0.07293701	146313794.47686952	1.822076636622159e-10	0.11880493545532227	0.11312866592407227	0.0011000275006875226	0.0012500312507812694	-0.052734378814697266	-0.048553470611572266	0.023652626315657885	0.03360084002100053	0.058051451286282085	0.05167351406007373	20.0	0.42118863049095534	0.016815181732177734	0.022064205169677734	-0.0008544922	-0.0018920898	0.014892574	0.0168457	0.0095	0.0149
16	Cell 3 of 13218.abf	-0.06240845	174938649.68041956	7.490789261747514e-11	0.11654663467407227	0.10818481826782227	0.0010000250006250155	0.0011000275006875504	-0.044433597564697266	-0.038818359375	0.022052586314657868	0.015950398759968995	0.07070176754418861	0.04282107052676317	22.0	0.7743988684582744	0.011871334075927734	0.016326900482177734	-0.00088500977	-0.0022888184	0.011871334	0.016235348	0.00195	0.00215
17	Cell 3 of 181016.abf	-0.06906128	150855854.9687302	2.129418045986344e-10	0.11315918350219727	0.10980224990844727	0.001000040001600061	0.0011000440017601143	-0.049163822174072266	-0.044830326080322266	0.04350730429217167	0.026101044041761667	0.06170246809872393	0.042111684467378695	22.0	0.5769854132901133	0.016296382904052734	0.021057125091552734	0.00048828125	-0.0011291504	0.016143795	0.01986694	0.0023	0.0156
18	Cell 3 of 6617.abf	-0.06744385	160446891.08335003	3.796190124867775e-10	0.10150146484375	0.09844970893859864	0.000950023750593762	0.0010000250006250155	-0.050079349517822266	-0.044372562408447266	0.028302742568564215	0.020650516262906565	0.06220155503887598	0.045567805861813214	20.0	0.6680064308681674	0.016510005950927734	0.020904537200927734	0.0006713867	-0.0010070801	0.015747067	0.01773071	0.00615	0.0181
19	cell 4 of 111016.abf	-0.061706547	248532128.9686899	6.141984763976041e-11	0.10568237686157227	0.096832275390625	0.001000040001600061	0.0012000480019200843	-0.054962162017822266	-0.042114261627197266	0.007205852234089344	0.009800392015680615	0.06460258410336417	0.0374181633932024	26.0	0.8482972136222913	0.010650630950927734	0.017700191497802734	-0.0016479492	-0.002380371	0.010589596	0.0133666955	0.0023	0.0209
20	cell 4 of 131016.abf	-0.063934326	184712160.9802561	2.419185680382317e-10	0.10668945693969727	0.098663330078125	0.001000040001600061	0.0012000480019200843	-0.049896244049072266	-0.03778076171875	0.018506304252170064	0.015200608024320966	0.07030281211248457	0.04292171686867475	22.0	0.7837837837837841	0.013000484466552734	0.021148677825927734	-0.0002746582	-0.0010375977	0.012908932	0.017944332	0.002	0.0287
21	Cell 4 of 181016.abf	-0.0675354	169520931.67921227	1.4726697706745736e-10	0.107391357421875	0.10302734375	0.0011000440017600588	0.0012000480019200843	-0.053894046783447266	-0.046417240142822266	0.01310608824352974	0.005600224008960347	0.02520100804032166	0.024274655196734184	40.0	0.7777777777777786	0.015594478607177734	0.021514888763427734	-0.00039672852	-0.001159668	0.015441891	0.020904537	0.0022	0.0207
22	Cell 4 of 201117.abf	-0.067993164	138266457.2817503	1.0039887894733712e-10	0.11193848037719727	0.105194091796875	0.0010000250006250155	0.0012000300007499742	-0.050750736236572266	-0.046173099517822266	0.023652626315657885	0.021800545013625328	0.05975149378734468	0.046031150778769465	22.0	0.6351464435146446	0.015686031341552734	0.020965572357177734	-0.0006713867	-0.0016479492	0.015594479	0.018798824	0.00225	0.0192
23	cell 4 of 61016.abf	-0.06536865	213279238.62487134	1.372340875801421e-10	0.10858154678344727	0.1009521484375	0.001000040001600061	0.0011000440017601143	-0.051971439361572266	-0.041351322174072266	0.014006124244969775	0.009500380015200621	0.05560222408896365	0.030847900582689977	32.0	0.8291366906474821	0.013916011810302734	0.021179195404052734	0.00039672852	-0.00030517578	0.013854977	0.019927975	0.002	0.0198
