	Cell name	E_rest_0	Input resistance	Cell capacitance	AP1_amp_1.5e-10	APp_amp_1.5e-10	AP1_width_1.5e-10	APp_width_1.5e-10	AP1_thresh_1.5e-10	APp_thresh_1.5e-10	AP1_lat_1.5e-10	ISI1_1.5e-10	ISIl_1.5e-10	ISIavg_1.5e-10	freq_1.5e-10	Adptn_id_1.5e-10	fAHP_AP1_amp_1.5e-10	fAHP_APp_amp_1.5e-10	mAHP_stimend_amp_1.5e-10	sAHP_stimend_amp_1.5e-10	AHP_AP1_amp_1.5e-10	AHP_APp_amp_1.5e-10	AHP_AP1_time_1.5e-10	AHP_APp_time_1.5e-10
0	Cell 1 of 12_4_2017.abf	-0.0647583	230200347.05819154	1.1704782048931567e-10	0.10607910537719727	0.099456787109375	0.0011000275006875088	0.0013000325008124536	-0.051605228424072266	-0.044494632720947266	0.009002260056501413	0.011400285007125185	0.03310082752068799	0.024290607265181625	42.0	0.655589123867069	0.010162349700927734	0.016052242279052734	0.0007324219	-0.00091552734	0.010009762	0.01596069	0.00215	0.0025
1	Cell 1 of 13_4_2017.abf	-0.06719971	174700733.543015	2.945770127276539e-10	0.12042236709594727	0.11373901748657227	0.001050026250656269	0.0011000275006874949	-0.050323490142822266	-0.046417240142822266	0.03125281632040801	0.021400535013375327	0.10580264506612669	0.05834312524479779	14.0	0.7977315689981098	0.012756343841552734	0.016662593841552734	0.0007019043	-0.0009460449	0.012725826	0.016662594	0.00225	0.0021
2	Cell 1 of 14_10_2016.abf	-0.07241821	166892593.69828942	2.178218235648319e-10	0.12142944717407227	0.11486816787719727	0.0011000440017600588	0.0012000480019200843	-0.052642826080322266	-0.046844486236572266	0.035907000280011175	0.0237009480379215	0.10150406016240654	0.06287394352916974	16.0	0.7665024630541875	0.018951412200927734	0.023254390716552734	0.0017089844	-0.0005187988	0.018127438	0.020446774	0.0092	0.0219
3	Cell 1 of 21_3_2017.abf	-0.06427002	187909413.4280371	1.885430374742338e-10	0.10641479873657227	0.098602294921875	0.0010000250006250155	0.0011000275006874949	-0.049591068267822266	-0.041717533111572266	0.01745247131178279	0.0075001875046876165	0.06860171504287604	0.039788494712367804	26.0	0.89067055393586	0.017120357513427734	0.024597164154052734	0.0012207031	9.1552734e-05	0.017028805	0.020538326	0.0023	0.03515
4	Cell 1 of 27_10_2016.abf	-0.07168579	197360092.99438137	1.1035607219841494e-10	0.11636352920532227	0.10577392578125	0.0011000440017600588	0.0014000560022401354	-0.054656986236572266	-0.046112064361572266	0.01720625225008998	0.008500340013600532	0.04750190007600297	0.03484306038908223	26.0	0.8210526315789474	0.016937252044677734	0.025695796966552734	0.0012512207	-0.0006713867	0.016815182	0.02200317	0.0026	0.0188
5	Cell 1 of 31_3_2017.abf	-0.067840576	190707037.95294097	1.9743700599735916e-10	0.12142944717407227	0.11071777725219727	0.0009000225005625084	0.0010500262506562552	-0.050781253814697266	-0.044036869049072266	0.019102512562814075	0.012650316257906441	0.06225155628890722	0.03683842096052401	26.0	0.7967871485943776	0.015380855560302734	0.021484371185302734	0.0036315918	0.0014038086	0.015167233	0.020141598	0.00225	0.0202
6	Cell 2 of 12_4_2017.abf	-0.06240845	156246912.14470688	2.1478786117225893e-10	0.10507202529907227	0.09912109375	0.0011000275006875226	0.0012500312507812694	-0.047790531158447266	-0.041748050689697266	0.019702527563189076	0.01675041876046901	0.06755168879221973	0.03953848846221155	26.0	0.7520355292376015	0.015716548919677734	0.021728511810302734	-0.00030517578	-0.0020751953	0.015594479	0.018463131	0.0025	0.02215
7	Cell 2 of 13_4_2017.abf	-0.07128906	176145329.55198795	3.036299571536591e-10	0.11874390029907227	0.11318970108032227	0.001050026250656269	0.0011000275006875504	-0.054321292877197266	-0.049102787017822266	0.02785273131828296	0.026350658766469165	0.17715442886072147	0.07659358150620431	14.0	0.8512559977420264	0.016967769622802734	0.019805904388427734	0.00061035156	0.00018310547	0.015441891	0.01708984	0.0116	0.024
8	Cell 2 of 19_10_2016.abf	-0.06964111	193434239.61112237	1.6990091613521367e-10	0.12078857803344727	0.11288452529907227	0.0011000440017600588	0.0012000480019200843	-0.051177982330322266	-0.043151859283447266	0.027306656266250645	0.01570062802512101	0.09610384415376616	0.05203541474992333	20.0	0.8366285119667013	0.018615718841552734	0.023742671966552734	0.001373291	-0.00076293945	0.018005367	0.020721432	0.0056	0.029
9	Cell 3 of 13_7_2017.abf	-0.06576538	150714230.6603276	2.408028858702043e-10	0.11337280654907227	0.10635376358032227	0.000950023750593762	0.0010000250006250155	-0.050231937408447266	-0.039794925689697266	0.02370262756568914	0.013050326258156456	0.09830245756143907	0.055226380659516495	18.0	0.8672431332655137	0.015014644622802734	0.021087642669677734	0.00091552734	-0.00076293945	0.014984127	0.019561764	0.0021	0.03795
