	Cell name	E_rest_0	Input resistance	Cell capacitance	AP1_amp_1.5e-10	APp_amp_1.5e-10	AP1_width_1.5e-10	APp_width_1.5e-10	AP1_thresh_1.5e-10	APp_thresh_1.5e-10	AP1_lat_1.5e-10	ISI1_1.5e-10	ISIl_1.5e-10	ISIavg_1.5e-10	freq_1.5e-10	Adptn_id_1.5e-10	fAHP_AP1_amp_1.5e-10	fAHP_APp_amp_1.5e-10	mAHP_stimend_amp_1.5e-10	sAHP_stimend_amp_1.5e-10	AHP_AP1_amp_1.5e-10	AHP_APp_amp_1.5e-10	AHP_AP1_time_1.5e-10	AHP_APp_time_1.5e-10	AP1_amp_3e-10	APp_amp_3e-10	AP1_width_3e-10	APp_width_3e-10	AP1_thresh_3e-10	APp_thresh_3e-10	AP1_lat_3e-10	ISI1_3e-10	ISIl_3e-10	ISIavg_3e-10	freq_3e-10	Adptn_id_3e-10	fAHP_AP1_amp_3e-10	fAHP_APp_amp_3e-10	mAHP_stimend_amp_3e-10	sAHP_stimend_amp_3e-10	AHP_AP1_amp_3e-10	AHP_APp_amp_3e-10	AHP_AP1_time_3e-10	AHP_APp_time_3e-10
0	Cell 1 of 12617.abf	-0.063568115	209202904.86430025	1.5492896878324217e-10	0.10562134170532227	0.097259521484375	0.001050026250656269	0.0011000275006874949	-0.052185062408447266	-0.041900638580322266	0.009952283807095175	0.0055001375034375855	0.05970149253731338	0.028803661268002288	36.0	0.9078726968174203	0.013305660247802734	0.018066402435302734	-9.1552734e-05	-0.0010070801	0.013275143	0.018035885	0.002	0.00205	0.10858154678344727	0.08853149604797364	0.001050026250656269	0.0013500337508437488	-0.053375247955322266	-0.032379150390625	0.0035021225530638272	0.004850121253031317	0.035950898772469375	0.01998383292915656	50.0	0.8650904033379698	0.014556880950927734	0.02740478515625	-0.00076293945	-0.0009460449	0.014465328	0.026428219	0.00195	0.01505
1	Cell 1 of 12717.abf	-0.07119751	214999067.0993711	1.1142412473384863e-10	0.12338257217407227	0.11419678115844727	0.0009000225005625223	0.0010000250006250155	-0.050750736236572266	-0.044464115142822266	0.02390263256581414	0.01800045001125028	0.04430110752768818	0.033127751270704844	28.0	0.5936794582392775	0.014770503997802734	0.020874019622802734	0.0016174316	-0.00033569336	0.014678951	0.02075195	0.002	0.00205	0.12197876358032227	0.09655761909484864	0.0008500212505312688	0.0012000300007499742	-0.052825931549072266	-0.034088134765625	0.006002185054626366	0.006400160004000094	0.0342008550213756	0.01924248106202655	52.0	0.812865497076024	0.016052242279052734	0.0343017578125	0.0015869141	-6.1035156e-05	0.016021725	0.033447262	0.0018	0.01145
2	Cell 1 of 13218.abf	-0.0670166	176645890.68020585	2.72507157110479e-10	0.11782837295532227	0.10879516983032227	0.0009000225005625223	0.0009500237505937759	-0.051177982330322266	-0.045410160064697266	0.022402595064876615	0.009850246256156409	0.08260206505162626	0.0391464332062847	24.0	0.8807506053268764	0.012390132904052734	0.016143795013427734	0.00015258789	-0.0010070801	0.012359615	0.015991207	0.00185	0.0019	0.11624145889282227	0.100128173828125	0.0009000225005625084	0.0012500312507812694	-0.052520755767822266	-0.03851318359375	0.006502197554938874	0.0064501612540313474	0.030100752518812945	0.022970574264356607	42.0	0.7857142857142856	0.013702388763427734	0.024902339935302734	0.0002746582	-0.0011291504	0.013671871	0.024841305	0.00175	0.00275
3	Cell 1 of 15118.abf	-0.058105472	213027590.06540927	5.191024141295106e-11	0.0987854041159153	0.0929565466940403	0.0008000200005000152	0.00115002875071879	-0.054718021392822266	-0.046478275299072266	0.0011020625515637816	0.0058501462536563464	0.027400685017125337	0.017354005278703392	58.0	0.7864963503649626	0.004638671785593032	0.010986328035593032	-0.002410885	-0.0025024377	0.004547119	0.009857178	0.00175	0.00735	0.0984802283346653	0.09014893141388894	0.0008500212505312688	0.001700042501062482	-0.061737064361572266	-0.043060306549072266	-0.0001479686992174878	0.004800120003000077	0.016200405010125207	0.013235466021785679	76.0	0.7037037037037027	0.008117675691843032	0.013641357332468032	-0.0046997033	-0.005157467	0.0079956055	0.013336182	0.0018	0.0051
4	Cell 1 of 201217.abf	-0.06777954	208377540.68111485	1.5270736721007758e-10	0.10775757217407227	0.09844970893859864	0.0011000275006875226	0.0012000300007500297	-0.051300052642822266	-0.042449954986572266	0.020402545063626584	0.012950323758093948	0.06675166879171984	0.0444611115277882	22.0	0.805992509363296	0.015655513763427734	0.022338863372802734	0.0022888184	0.00018310547	0.015533444	0.021301266	0.00225	0.04225	0.1077880859375	0.09170532417297364	0.001050026250656269	0.0014500362509062281	-0.052978519439697266	-0.03497314453125	0.006552198804970127	0.007250181254531363	0.051451286282157116	0.02958823970599265	34.0	0.8590864917395531	0.018951412200927734	0.03216552734375	0.0018615723	0.00018310547	0.018951412	0.029510494	0.002	0.02345
5	Cell 1 of 22317.abf	-0.059570316	204257283.28231043	1.6539104468225574e-10	0.10369873800873756	0.0934753455221653	0.0012000300007500159	0.001400035000875044	-0.047851566314697266	-0.035552978515625	0.013052361309032728	0.008350208755218885	0.048051201280031985	0.028056951423785594	34.0	0.8262226847034337	0.016448974519968032	0.0263366736471653	0.0018920898	-0.0002746582	0.016296387	0.021728516	0.0025	0.02315	0.10360718527436256	0.08599854078888894	0.0011500287507187623	0.0018000450011249614	-0.047607425689697266	-0.027984621047973633	0.0046521513037825896	0.0064501612540313474	0.038050951273781775	0.023098196502531608	44.0	0.8304862023653086	0.019592285066843032	0.035339357286691665	0.0012512207	-0.00036621094	0.019561768	0.030120853	0.0024	0.0193
6	Cell 1 of 23317.abf	-0.07196045	189733871.34238797	1.6311451208293772e-10	0.12228393936157227	0.11425781631469727	0.001300032500812509	0.0013500337508437488	-0.047760013580322266	-0.042755130767822266	0.038903007575189386	0.03545088627215681	0.07350183754593864	0.054213855346383656	18.0	0.5176870748299318	0.020935054779052734	0.026794429779052734	0.0015869141	-0.00088500977	0.020324703	0.023559567	0.0103	0.02425	0.12020874404907227	0.09899902534484864	0.0012500312507812694	0.0015500387509688185	-0.050079349517822266	-0.033599853515625	0.009452271306782667	0.011950298757468947	0.039300982524563044	0.02701244001688277	36.0	0.6959287531806608	0.022918697357177734	0.0367431640625	0.0017700195	-0.0008239746	0.02288818	0.034210205	0.0025	0.0178
7	Cell 1 of 24517.abf	-0.06607056	170020193.00975174	1.9887036078797247e-10	0.09868775200843811	0.09433899712562561	0.0011500287507187623	0.0012500312507812694	-0.052111820220947264	-0.043380741119384766	0.019002510062751568	0.011600290007250186	0.06580164504112607	0.03801913229648923	24.0	0.8237082066869301	0.01658325791358948	0.02275696015357971	0.0010681152	-0.0006225556	0.016516116	0.020922855	0.00265	0.01995	0.09880371284484864	0.091741943359375	0.0011500287507187762	0.0016000400010000027	-0.052932743072509766	-0.034915164947509764	0.00480215505387635	0.006650166254156348	0.05010125253131331	0.024122825292854547	38.0	0.8672654690618764	0.019924922943115236	0.030062866210937497	0.0007019043	-0.00081177056	0.019845579	0.028616332	0.00245	0.01805
8	Cell 1 of 25517.abf	-0.06842041	193137599.76214486	1.7920365288636888e-10	0.106719970703125	0.101043701171875	0.0009000225005625084	0.0011000275006874949	-0.049621585845947266	-0.041503910064697266	0.024002635065876646	0.01550038750968774	0.05585139628490721	0.04149194638956883	24.0	0.7224709042076997	0.017181392669677734	0.024291988372802734	0.00012207031	-0.0008544922	0.017028805	0.02062988	0.00205	0.02535	0.105865478515625	0.09384155464172364	0.000950023750593762	0.0012500312507812694	-0.050201419830322266	-0.033172607421875	0.00785223130578265	0.007000175004375109	0.05045126128153199	0.025703274160801388	40.0	0.861248761149653	0.020385738372802734	0.033966064453125	0.00015258789	-0.00039672852	0.02023315	0.029022213	0.002	0.01905
9	Cell 1 of 6617.abf	-0.06878662	203404775.98237902	5.196697419364807e-11	0.09127807807922364	0.08947754096984864	0.00140003500087503	0.0017000425010625375	-0.046875003814697266	-0.03900146484375	0.01685245631140779	0.009900247506187662	0.058601465036625944	0.03238295243095363	30.0	0.8310580204778156	0.026672359466552734	0.03228759765625	0.00030517578	-0.0008544922	0.026306149	0.027099606	0.00415	0.0364	0.09411621284484864	0.09039306831359864	0.00140003500087503	0.0021500537513438056	-0.044403079986572266	-0.023986818313598633	0.005402170054251351	0.006300157503937601	0.038150953773844365	0.022764854835656607	44.0	0.8348623853211009	0.03472900390625	0.04687499809265137	0.00061035156	-0.0007324219	0.034576416	0.042419434	0.0032	0.0245
