	Cell name	E_rest_0	Input resistance	Cell capacitance	AP1_amp_1.5e-10	APp_amp_1.5e-10	AP1_width_1.5e-10	APp_width_1.5e-10	AP1_thresh_1.5e-10	APp_thresh_1.5e-10	AP1_lat_1.5e-10	ISI1_1.5e-10	ISIl_1.5e-10	ISIavg_1.5e-10	freq_1.5e-10	Adptn_id_1.5e-10	fAHP_AP1_amp_1.5e-10	fAHP_APp_amp_1.5e-10	mAHP_stimend_amp_1.5e-10	sAHP_stimend_amp_1.5e-10	AHP_AP1_amp_1.5e-10	AHP_APp_amp_1.5e-10	AHP_AP1_time_1.5e-10	AHP_APp_time_1.5e-10	AP1_amp_3e-10	APp_amp_3e-10	AP1_width_3e-10	APp_width_3e-10	AP1_thresh_3e-10	APp_thresh_3e-10	AP1_lat_3e-10	ISI1_3e-10	ISIl_3e-10	ISIavg_3e-10	freq_3e-10	Adptn_id_3e-10	fAHP_AP1_amp_3e-10	fAHP_APp_amp_3e-10	mAHP_stimend_amp_3e-10	sAHP_stimend_amp_3e-10	AHP_AP1_amp_3e-10	AHP_APp_amp_3e-10	AHP_AP1_time_3e-10	AHP_APp_time_3e-10
0	Cell 1 of 12_4_2017.abf	-0.0647583	226459948.0244861	1.1452189268203963e-10	0.10607910537719727	0.099456787109375	0.0011000275006875088	0.0013000325008124536	-0.051605228424072266	-0.044494632720947266	0.009002260056501413	0.011400285007125185	0.03310082752068799	0.024290607265181625	42.0	0.655589123867069	0.010162349700927734	0.016052242279052734	0.0007324219	-0.00091552734	0.010009762	0.01596069	0.00215	0.0025	0.105682373046875	0.09457397651672364	0.0011000275006875226	0.0015500387509688185	-0.052307132720947266	-0.038848876953125	0.002352093802345051	0.006700167504187615	0.025900647516187814	0.016767660570824613	60.0	0.74131274131274	0.013549800872802734	0.023651119232177734	-0.00015258789	-0.0014038086	0.013519283	0.02365112	0.00205	0.0028
1	Cell 1 of 13_4_2017.abf	-0.06719971	180036623.76804012	2.9386818354130304e-10	0.12042236709594727	0.11373901748657227	0.001050026250656269	0.0011000275006874949	-0.050323490142822266	-0.046417240142822266	0.03125281632040801	0.021400535013375327	0.10580264506612669	0.05834312524479779	14.0	0.7977315689981098	0.012756343841552734	0.016662593841552734	0.0007019043	-0.0009460449	0.012725826	0.016662594	0.00225	0.0021	0.11796570205688477	0.09956360054016114	0.001050026250656269	0.0012500312507812694	-0.052093509674072266	-0.03753662109375	0.009252266306657667	0.008700217505437632	0.06745168629215725	0.031150778769469235	32.0	0.8710155670867309	0.014205928802490234	0.024398799896240234	0.0004119873	-0.001449585	0.014144894	0.0243988	0.00225	0.00225
2	Cell 1 of 14_10_2016.abf	-0.07241821	173859623.03295746	2.2159339398757724e-10	0.12142944717407227	0.11486816787719727	0.0011000440017600588	0.0012000480019200843	-0.052642826080322266	-0.046844486236572266	0.035907000280011175	0.0237009480379215	0.10150406016240654	0.06287394352916974	16.0	0.7665024630541875	0.018951412200927734	0.023254390716552734	0.0017089844	-0.0005187988	0.018127438	0.020446774	0.0092	0.0219	0.11889648818969727	0.10055542182922364	0.0011000440017600865	0.0014000560022401354	-0.055328372955322266	-0.036865234375	0.010005964238569531	0.010000400016000638	0.05090203608144328	0.03035121404856194	34.0	0.8035363457760316	0.018615718841552734	0.030395503997802734	0.0015869141	-0.00061035156	0.018524166	0.027587887	0.0025	0.0213
3	Cell 1 of 21_3_2017.abf	-0.06427002	175266155.59826937	1.1879612940400052e-10	0.10641479873657227	0.098602294921875	0.0010000250006250155	0.0011000275006874949	-0.049591068267822266	-0.041717533111572266	0.01745247131178279	0.0075001875046876165	0.06860171504287604	0.039788494712367804	26.0	0.89067055393586	0.017120357513427734	0.024597164154052734	0.0012207031	9.1552734e-05	0.017028805	0.020538326	0.0023	0.03515	0.10476684951782227	0.08880615425109864	0.0010000250006250155	0.001400035000875044	-0.050292972564697266	-0.03143310546875	0.005852181304532619	0.005250131253281332	0.04525113127828195	0.023495324225210893	40.0	0.8839779005524862	0.018493648529052734	0.03350830078125	-0.00039672852	-0.0010070801	0.018432613	0.029266357	0.0021	0.0233
4	Cell 1 of 27_10_2016.abf	-0.07168579	202434072.46785477	8.167130674946483e-11	0.11636352920532227	0.10577392578125	0.0011000440017600588	0.0014000560022401354	-0.054656986236572266	-0.046112064361572266	0.01720625225008998	0.008500340013600532	0.04750190007600297	0.03484306038908223	26.0	0.8210526315789474	0.016937252044677734	0.025695796966552734	0.0012512207	-0.0006713867	0.016815182	0.02200317	0.0026	0.0188	0.11508179092407227	0.091461181640625	0.0012000480019200843	0.0022000880035201176	-0.056457523345947266	-0.035858154296875	0.004905760230409201	0.006600264010560408	0.06250250010000402	0.025123227151308273	38.0	0.8944000000000003	0.018585201263427734	0.032989498138427734	0.0013427734	-0.000579834	0.018554684	0.030853268	0.0022	0.0165
5	Cell 1 of 31_3_2017.abf	-0.067840576	189529641.35898343	1.974616371627748e-10	0.12142944717407227	0.11071777725219727	0.0009000225005625084	0.0010500262506562552	-0.050781253814697266	-0.044036869049072266	0.019102512562814075	0.012650316257906441	0.06225155628890722	0.03683842096052401	26.0	0.7967871485943776	0.015380855560302734	0.021484371185302734	0.0036315918	0.0014038086	0.015167233	0.020141598	0.00225	0.0202	0.11987305068969727	0.09780883979797364	0.0008500212505312688	0.0012000300007499742	-0.052490238189697266	-0.03436279296875	0.007202215055376382	0.00735018375459387	0.04185104627615688	0.022617232097469103	44.0	0.8243727598566306	0.016113277435302734	0.0311279296875	0.0009460449	0.00012207031	0.016052242	0.028106686	0.0019	0.0163
6	Cell 2 of 12_4_2017.abf	-0.06240845	166659666.15295348	2.5827654695090617e-10	0.10507202529907227	0.09912109375	0.0011000275006875226	0.0012500312507812694	-0.047790531158447266	-0.041748050689697266	0.019702527563189076	0.01675041876046901	0.06755168879221973	0.03953848846221155	26.0	0.7520355292376015	0.015716548919677734	0.021728511810302734	-0.00030517578	-0.0020751953	0.015594479	0.018463131	0.0025	0.02215	0.10684204483032227	0.09771728515625	0.0011000275006875226	0.0015500387509687075	-0.047912601470947266	-0.03619384765625	0.007952233805845144	0.008700217505437646	0.03725093127328183	0.024745355475992166	40.0	0.766442953020134	0.020202632904052734	0.0302734375	6.1035156e-05	-0.0020141602	0.020141598	0.026306149	0.00235	0.01675
7	Cell 2 of 13_4_2017.abf	-0.07128906	173371616.4845511	3.0921745627856044e-10	0.11874390029907227	0.11318970108032227	0.001050026250656269	0.0011000275006875504	-0.054321292877197266	-0.049102787017822266	0.02785273131828296	0.026350658766469165	0.17715442886072147	0.07659358150620431	14.0	0.8512559977420264	0.016967769622802734	0.019805904388427734	0.00061035156	0.00018310547	0.015441891	0.01708984	0.0116	0.024	0.11669922256469727	0.09692383003234864	0.0010000250006250155	0.0012000300007500297	-0.054931644439697266	-0.038299560546875	0.007502222555563889	0.009450236255906394	0.05365134128353205	0.028197579939498486	34.0	0.8238583410997203	0.018371578216552734	0.029632564544677734	0.00039672852	-0.00033569336	0.018310543	0.027099606	0.0024	0.01105
8	Cell 2 of 19_10_2016.abf	-0.06964111	165747809.55109185	8.127096732381352e-11	0.12078857803344727	0.11288452529907227	0.0011000440017600588	0.0012000480019200843	-0.051177982330322266	-0.043151859283447266	0.027306656266250645	0.01570062802512101	0.09610384415376616	0.05203541474992333	20.0	0.8366285119667013	0.018615718841552734	0.023742671966552734	0.001373291	-0.00076293945	0.018005367	0.020721432	0.0056	0.029	0.11935425186157227	0.09912109565734864	0.0011000440017600588	0.0014000560022401354	-0.053649906158447266	-0.033355712890625	0.00830589623584943	0.008000320012800516	0.04610184407376294	0.025867701374721656	38.0	0.82646420824295	0.019683834075927734	0.0325927734375	0.00076293945	-0.00091552734	0.019622799	0.030426022	0.0023	0.015
9	Cell 3 of 13_7_2017.abf	-0.06576538	154933481.46744797	2.00244949867281e-10	0.11337280654907227	0.10635376358032227	0.000950023750593762	0.0010000250006250155	-0.050231937408447266	-0.039794925689697266	0.02370262756568914	0.013050326258156456	0.09830245756143907	0.055226380659516495	18.0	0.8672431332655137	0.015014644622802734	0.021087642669677734	0.00091552734	-0.00076293945	0.014984127	0.019561764	0.0021	0.03795	0.11260986709594727	0.09243774604797364	0.000950023750593762	0.0011500287507187346	-0.050872806549072266	-0.026794435501098633	0.008252241306032651	0.007050176254406348	0.0856521413035326	0.03398656394981303	30.0	0.9176882661996499	0.017822261810302734	0.031646728515625	0.0025634766	-0.00088500977	0.01773071	0.030029297	0.0019	0.0278
